Loading repository data...
Reading installed packages...
S  | Repository                             | Name                                       | Version                                      | Arch
v  | Visual Studio Code                     | code                                       | 1.32.3-1552607091.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.32.2-1552488417.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.32.1-1552006371.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.32.0-1551898812.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.31.1-1549938372.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.31.0-1549443494.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.30.2-1546901769.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.30.1-1545156893.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.30.0-1544567256.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.29.1-1542309276.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.29.0-1542008924.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.28.2-1539736121.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.28.1-1539281811.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.28.0-1538671690.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.27.2-1536736788.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.27.1-1536226249.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.27.0-1536125811.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.26.1-1534444904.el7                        | x86_64
